sale_row_id,invoice_id,transaction_date,transaction_time,branch,city,customer_type,gender,product_category,product_name,unit_price,quantity,discount_percent,tax_rate,cost_per_unit,payment_method,customer_rating
27,INV-1027,2026-01-16,17:15,"Branch B",Giza,Normal,Male,NULL,"Power Bank",1100.00,1,5.00,14.00,820.00,"Mobile Wallet",7.70
28,INV-1028,2026-01-17,20:30,"Branch C",Alexandria,Member,Female,"Home and Lifestyle",NULL,375.00,2,0.00,14.00,260.00,Cash,8.60
29,INV-1029,2026-01-17,09:20,"Branch A",Cairo,Normal,Male,"Sports and Travel","Water Bottle",NULL,3,5.00,14.00,90.00,"Debit Card",6.70
30,INV-1030,2026-01-18,13:50,"Branch B",Giza,Member,Female,"Fashion Accessories",Wallet,280.00,NULL,10.00,14.00,190.00,"Credit Card",8.20
31,INV-1031,2026-01-18,16:30,"Branch C",Alexandria,Normal,Male,"Food and Beverages",Biscuits,35.00,6,NULL,14.00,22.00,Cash,7.50
32,INV-1032,2026-01-19,18:10,"Branch A",Cairo,Member,Female,"Health and Beauty",Perfume,900.00,1,5.00,NULL,650.00,"Mobile Wallet",9.00
33,INV-1033,2026-01-19,21:00,"Branch B",Giza,Normal,Male,Electronics,"Phone Charger",240.00,2,0.00,14.00,NULL,Cash,7.30
34,INV-1034,2026-01-20,10:45,"Branch C",Alexandria,Member,Female,"Home and Lifestyle",Cushion,190.00,4,5.00,14.00,125.00,NULL,8.70
35,INV-1035,2026-01-20,12:15,"Branch A",Cairo,Normal,Male,"Sports and Travel","Tennis Racket",1500.00,1,10.00,14.00,1100.00,"Credit Card",NULL
36,INV-1036,2026-01-21,14:30,"Branch B",Giza,Member,Female,"Food and Beverages","Apple Juice",60.00,3,5.00,14.00,40.00,Cash,8.50
37,INV-1036,2026-01-21,14:30,"Branch B",Giza,Member,Female,"Food and Beverages","Apple Juice",60.00,3,5.00,14.00,40.00,Cash,8.50
38,INV-1037,2026-01-21,17:10,"Branch C",Alexandria,Normal,Male,"Health and Beauty",Toothpaste,85.00,2,0.00,14.00,55.00,"Debit Card",7.40
39,INV-1037,2026-01-21,17:10,"Branch C",Alexandria,Normal,Male,"Food and Beverages","Mineral Water",15.00,6,0.00,14.00,9.00,"Debit Card",7.40
40,INV-1038,2026-01-22,09:30,"branch a",cairo,member,male,"food and beverages","Orange Juice",45.00,2,5.00,14.00,30.00,cash,8.30
41,INV-1039,2026-01-22,11:50,"BRANCH B",GIZA,NORMAL,FEMALE,ELECTRONICS,"Wireless Mouse",350.00,1,0.00,14.00,250.00,"CREDIT CARD",7.90
42,INV-1040,2026-01-22,15:15," Branch C "," Alexandria "," Member "," Female "," Home and Lifestyle ","Table Lamp ",250.00,2,10.00,14.00,170.00," Mobile Wallet ",8.60
43,INV-1041,2026-01-23,18:00,Branch-A,Cairo,"Loyal Member",M,"Food & Beverages",Coffee,95.00,2,5.00,14.00,65.00,"Cash Payment",8.20
44,INV-1042,2026-01-23,20:45,B,Giza,Regular,F,"Health & Beauty",Shampoo,120.00,1,0.00,14.00,80.00,Card,7.60
45,INV-1043,2026-01-24,13:40,"Branch C",Alexandria,"Non Member",female,"fashion accessories","Hand Bag",700.00,1,10.00,14.00,500.00,creditcard,8.10
46,INV-1044,25/01/2026,"10:30 AM","Branch A",Cairo,Member,Male,Electronics,Headphones,800.00,1,5.00,14.00,590.00,"Credit Card",8.80
47,INV-1045,01-26-2026,"2:45 PM","Branch B",Giza,Normal,Female,"Home and Lifestyle","Wall Mirror",600.00,1,0.00,14.00,420.00,Cash,7.70
48,INV-1046,2026/01/27,18.30,"Branch C",Alexandria,Member,Male,"Sports and Travel","Gym Gloves",260.00,2,10.00,14.00,170.00,"Mobile Wallet",8.30
49,INV-1047,2026-13-05,20:20,"Branch A",Cairo,Normal,Female,"Fashion Accessories",Necklace,450.00,1,5.00,14.00,300.00,"Debit Card",7.50
50,INV-1048,2026-02-30,11:15,"Branch B",Giza,Member,Male,"Food and Beverages",Cereal,130.00,2,0.00,14.00,85.00,Cash,8.00
51,INV-1049,"not available",14:50,"Branch C",Alexandria,Normal,Female,"Health and Beauty",Soap,40.00,5,5.00,14.00,25.00,"Credit Card",6.90
52,INV-1050,2026-01-29,25:30,"Branch A",Cairo,Member,Male,Electronics,"HDMI Cable",180.00,2,0.00,14.00,120.00,"Mobile Wallet",8.40
53,INV-1051,2026-01-29,99:99,"Branch B",Giza,Normal,Female,"Home and Lifestyle","Flower Vase",275.00,1,5.00,14.00,180.00,Cash,7.20
54,INV-1052,2026-01-30,09:20,"Branch C",Alexandria,Member,Male,"Food and Beverages",Cookies,65.00,-3,5.00,14.00,40.00,Cash,8.00
55,INV-1053,2026-01-30,11:40,"Branch A",Cairo,Normal,Female,"Health and Beauty","Face Cream",300.00,0,10.00,14.00,210.00,"Credit Card",7.80
56,INV-1054,2026-01-30,14:10,"Branch B",Giza,Member,Female,Electronics,"USB Cable",-120.00,2,0.00,14.00,75.00,"Mobile Wallet",8.40
57,INV-1055,2026-01-31,16:50,"Branch C",Alexandria,Normal,Male,"Home and Lifestyle",Notebook,0.00,4,5.00,14.00,30.00,Cash,7.10
58,INV-1056,2026-01-31,18:30,"Branch A",Cairo,Member,Male,"Sports and Travel","Skipping Rope",150.00,2,-10.00,14.00,95.00,"Debit Card",8.20
59,INV-1057,2026-01-31,20:10,"Branch B",Giza,Normal,Female,"Fashion Accessories",Bracelet,350.00,1,150.00,14.00,230.00,"Credit Card",7.60
60,INV-1058,2026-02-01,10:00,"Branch C",Alexandria,Member,Female,"Food and Beverages","Frozen Pizza",220.00,2,5.00,-14.00,150.00,Cash,8.50
61,INV-1059,2026-02-01,12:45,"Branch A",Cairo,Normal,Male,"Health and Beauty","Hair Gel",100.00,3,0.00,140.00,65.00,"Mobile Wallet",7.00
62,INV-1060,2026-02-01,15:30,"Branch B",Giza,Member,Male,Electronics,"Laptop Stand",700.00,1,10.00,14.00,-400.00,"Credit Card",8.70
63,INV-1061,2026-02-02,17:20,"Branch C",Alexandria,Normal,Female,"Home and Lifestyle","Kitchen Scale",350.00,2,5.00,14.00,500.00,Cash,7.30
64,INV-1062,2026-02-02,19:00,"Branch A",Cairo,Member,Male,"Sports and Travel","Camping Light",500.00,1,0.00,14.00,340.00,"Debit Card",-2.00
65,INV-1063,2026-02-02,21:15,"Branch B",Giza,Normal,Female,"Fashion Accessories",Earrings,280.00,2,5.00,14.00,180.00,"Mobile Wallet",15.00
66,INV-1064,2026-02-03,10:40,"Branch C",Alexandria,Member,Female,"Food and Beverages","Energy Drink",50.00,1000,10.00,14.00,32.00,Cash,8.10
67,INV-1065,2026-02-03,14:20,"Branch A",Cairo,Normal,Male,Electronics,Television,999999.00,1,5.00,14.00,18000.00,"Credit Card",9.00
68,INV-1066,2026-02-03,17:40,"Branch A",Giza,Member,Female,"Health and Beauty",Conditioner,170.00,2,0.00,14.00,115.00,Cash,8.00
69,INV-1067,2026-02-04,11:25,"Branch B",Alexandria,Normal,Male,"Sports and Travel",Basketball,400.00,1,5.00,14.00,270.00,"Debit Card",7.60
70,INV-1068,2026-02-04,13:55,"Branch X",Cairo,Member,Male,Electronics,"Smart Watch",1800.00,1,10.00,14.00,1350.00,"Mobile Wallet",8.90
71,INV-1069,2026-02-04,18:05,"Branch C",Alexandria,"VIP Customer",Female,"Fashion Accessories","Leather Belt",380.00,2,5.00,14.00,260.00,"Credit Card",8.20
72,INV-1070,2026-02-05,20:30,"Branch A",Cairo,Normal,Unknown,"Home and Lifestyle","Desk Organizer",210.00,3,0.00,14.00,140.00,Cash,7.40
73,INV-1071,2026-02-05,09:50,"Branch B",Giza,Member,Female,"Food and Beverages",Cheese,90.00,2,5.00,14.00,62.00,Bitcoin,8.60
74,,2026-02-05,15:10,,Alexandria,,Male,"Health and Beauty",,125.00,2,0.00,14.00,80.00,,7.00
75,INV-0004081,2025-04-01,18:32,"Branch B",Giza,Member,Male,"Sports and Travel","Body Lotion",510.10,1,15.00,14.00,346.80,"Debit Card",6.30
76,INV-0004262,2025-09-29,01:26,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Face Wash",1267.91,2,10.00,14.00,861.56,"Mobile Wallet",7.00
77,INV-0004263,2025-09-30,01:28,"Branch A",Cairo,Member,Male,"Food and Beverages","Wireless Mouse",1304.92,3,5.00,14.00,886.72,Cash,8.30
78,INV-0004264,2025-10-01,01:30,"Branch B",Giza,Normal,Female,"Health and Beauty",Keyboard,1341.93,4,0.00,14.00,911.88,"Credit Card",9.60
79,INV-0004265,2025-10-02,01:32,"Branch C",Alexandria,Member,Male,Electronics,"Phone Charger",1378.94,5,0.00,14.00,937.04,"Debit Card",5.80
80,INV-0004266,2025-10-03,01:35,"Branch A",Cairo,Normal,Female,"Home and Lifestyle","Table Lamp",1415.95,6,15.00,14.00,962.20,"Mobile Wallet",7.10
81,INV-0004267,2025-10-04,01:37,"Branch B",Giza,Member,Male,"Sports and Travel","Wall Clock",1452.96,7,10.00,14.00,987.36,Cash,8.40
82,INV-0004268,2025-10-05,01:39,"Branch C",Alexandria,Normal,Female,"Fashion Accessories",Bedsheet,1489.97,8,5.00,14.00,1012.52,"Credit Card",9.70
83,INV-0004269,2025-10-06,01:42,"Branch A",Cairo,Member,Male,"Food and Beverages","Running Shoes",1526.98,9,0.00,14.00,1037.68,"Debit Card",5.90
84,INV-0004270,2025-10-07,01:44,"Branch B",Giza,Normal,Female,"Health and Beauty",Football,1563.99,10,0.00,14.00,1062.84,"Mobile Wallet",7.20
85,INV-0004271,2025-10-08,01:46,"Branch C",Alexandria,Member,Male,Electronics,"Sports Bag",1600.00,1,15.00,14.00,1088.00,Cash,8.50
86,INV-0004252,2025-09-19,01:03,"Branch B",Giza,Normal,Female,"Health and Beauty",Football,897.81,2,10.00,14.00,609.96,"Credit Card",9.30
87,INV-0004253,2025-09-20,01:05,"Branch C",Alexandria,Member,Male,Electronics,"Sports Bag",934.82,3,5.00,14.00,635.12,"Debit Card",5.50
88,INV-0004254,2025-09-21,01:07,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Handbag,971.83,4,0.00,14.00,660.28,"Mobile Wallet",6.80
89,INV-0004255,2025-09-22,01:10,"Branch B",Giza,Member,Male,"Sports and Travel",Sunglasses,1008.84,5,0.00,14.00,685.44,Cash,8.10
90,INV-0004256,2025-09-23,01:12,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Wrist Watch",1045.85,6,15.00,14.00,710.60,"Credit Card",9.40
91,INV-0004257,2025-09-24,01:14,"Branch A",Cairo,Member,Male,"Food and Beverages","Orange Juice",1082.86,7,10.00,14.00,735.76,"Debit Card",5.60
92,INV-0004258,2025-09-25,01:16,"Branch B",Giza,Normal,Female,"Health and Beauty",Coffee,1119.87,8,5.00,14.00,760.92,"Mobile Wallet",6.90
93,INV-0004259,2025-09-26,01:19,"Branch C",Alexandria,Member,Male,Electronics,Chocolate,1156.88,9,0.00,14.00,786.08,Cash,8.20
94,INV-0004260,2025-09-27,01:21,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Shampoo,1193.89,10,0.00,14.00,811.24,"Credit Card",9.50
95,INV-0004261,2025-09-28,01:23,"Branch B",Giza,Member,Male,"Sports and Travel","Body Lotion",1230.90,1,15.00,14.00,836.40,"Debit Card",5.70
96,INV-0004242,2025-09-09,00:40,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Shampoo,527.71,2,10.00,14.00,358.36,"Mobile Wallet",6.50
97,INV-0004243,2025-09-10,00:42,"Branch B",Giza,Member,Male,"Sports and Travel","Body Lotion",564.72,3,5.00,14.00,383.52,Cash,7.80
98,INV-0004244,2025-09-11,00:45,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Face Wash",601.73,4,0.00,14.00,408.68,"Credit Card",9.10
99,INV-0004245,2025-09-12,00:47,"Branch A",Cairo,Member,Male,"Food and Beverages","Wireless Mouse",638.74,5,0.00,14.00,433.84,"Debit Card",5.30
100,INV-0004246,2025-09-13,00:49,"Branch B",Giza,Normal,Female,"Health and Beauty",Keyboard,675.75,6,15.00,14.00,459.00,"Mobile Wallet",6.60
101,INV-0004247,2025-09-14,00:51,"Branch C",Alexandria,Member,Male,Electronics,"Phone Charger",712.76,7,10.00,14.00,484.16,Cash,7.90
102,INV-0004248,2025-09-15,00:54,"Branch A",Cairo,Normal,Female,"Home and Lifestyle","Table Lamp",749.77,8,5.00,14.00,509.32,"Credit Card",9.20
103,INV-0004249,2025-09-16,00:56,"Branch B",Giza,Member,Male,"Sports and Travel","Wall Clock",786.78,9,0.00,14.00,534.48,"Debit Card",5.40
104,INV-0004250,2025-09-17,00:58,"Branch C",Alexandria,Normal,Female,"Fashion Accessories",Bedsheet,823.79,10,0.00,14.00,559.64,"Mobile Wallet",6.70
105,INV-0004251,2025-09-18,01:01,"Branch A",Cairo,Member,Male,"Food and Beverages","Running Shoes",860.80,1,15.00,14.00,584.80,Cash,8.00
106,INV-0004232,2025-08-30,00:17,"Branch C",Alexandria,Normal,Female,"Fashion Accessories",Bedsheet,157.61,2,10.00,14.00,106.76,"Credit Card",8.80
107,INV-0004233,2025-08-31,00:19,"Branch A",Cairo,Member,Male,"Food and Beverages","Running Shoes",194.62,3,5.00,14.00,131.92,"Debit Card",5.00
108,INV-0004234,2025-09-01,00:22,"Branch B",Giza,Normal,Female,"Health and Beauty",Football,231.63,4,0.00,14.00,157.08,"Mobile Wallet",6.30
109,INV-0004235,2025-09-02,00:24,"Branch C",Alexandria,Member,Male,Electronics,"Sports Bag",268.64,5,0.00,14.00,182.24,Cash,7.60
110,INV-0004236,2025-09-03,00:26,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Handbag,305.65,6,15.00,14.00,207.40,"Credit Card",8.90
111,INV-0004237,2025-09-04,00:29,"Branch B",Giza,Member,Male,"Sports and Travel",Sunglasses,342.66,7,10.00,14.00,232.56,"Debit Card",5.10
112,INV-0004238,2025-09-05,00:31,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Wrist Watch",379.67,8,5.00,14.00,257.72,"Mobile Wallet",6.40
113,INV-0004239,2025-09-06,00:33,"Branch A",Cairo,Member,Male,"Food and Beverages","Orange Juice",416.68,9,0.00,14.00,282.88,Cash,7.70
114,INV-0004240,2025-09-07,00:35,"Branch B",Giza,Normal,Female,"Health and Beauty",Coffee,453.69,10,0.00,14.00,308.04,"Credit Card",9.00
115,INV-0004241,2025-09-08,00:38,"Branch C",Alexandria,Member,Male,Electronics,Chocolate,490.70,1,15.00,14.00,333.20,"Debit Card",5.20
116,INV-0004222,2025-08-20,23:54,"Branch B",Giza,Normal,Female,"Health and Beauty",Coffee,1767.51,2,10.00,14.00,1201.56,"Mobile Wallet",6.00
117,INV-0004223,2025-08-21,23:57,"Branch C",Alexandria,Member,Male,Electronics,Chocolate,1804.52,3,5.00,14.00,1226.72,Cash,7.30
118,INV-0004224,2025-08-22,23:59,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Shampoo,1841.53,4,0.00,14.00,1251.88,"Credit Card",8.60
119,INV-0004225,2025-08-23,00:01,"Branch B",Giza,Member,Male,"Sports and Travel","Body Lotion",1878.54,5,0.00,14.00,1277.04,"Debit Card",9.90
120,INV-0004226,2025-08-24,00:03,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Face Wash",1915.55,6,15.00,14.00,1302.20,"Mobile Wallet",6.10
121,INV-0004227,2025-08-25,00:06,"Branch A",Cairo,Member,Male,"Food and Beverages","Wireless Mouse",1952.56,7,10.00,14.00,1327.36,Cash,7.40
122,INV-0004228,2025-08-26,00:08,"Branch B",Giza,Normal,Female,"Health and Beauty",Keyboard,1989.57,8,5.00,14.00,1352.52,"Credit Card",8.70
123,INV-0004229,2025-08-27,00:10,"Branch C",Alexandria,Member,Male,Electronics,"Phone Charger",46.58,9,0.00,14.00,31.28,"Debit Card",10.00
124,INV-0004230,2025-08-28,00:13,"Branch A",Cairo,Normal,Female,"Home and Lifestyle","Table Lamp",83.59,10,0.00,14.00,56.44,"Mobile Wallet",6.20
125,INV-0004231,2025-08-29,00:15,"Branch B",Giza,Member,Male,"Sports and Travel","Wall Clock",120.60,1,15.00,14.00,81.60,Cash,7.50
126,INV-0004212,2025-08-10,23:31,"Branch A",Cairo,Normal,Female,"Home and Lifestyle","Table Lamp",1397.41,2,10.00,14.00,949.96,"Credit Card",8.30
127,INV-0004213,2025-08-11,23:34,"Branch B",Giza,Member,Male,"Sports and Travel","Wall Clock",1434.42,3,5.00,14.00,975.12,"Debit Card",9.60
128,INV-0004214,2025-08-12,23:36,"Branch C",Alexandria,Normal,Female,"Fashion Accessories",Bedsheet,1471.43,4,0.00,14.00,1000.28,"Mobile Wallet",5.80
129,INV-0004215,2025-08-13,23:38,"Branch A",Cairo,Member,Male,"Food and Beverages","Running Shoes",1508.44,5,0.00,14.00,1025.44,Cash,7.10
130,INV-0004216,2025-08-14,23:41,"Branch B",Giza,Normal,Female,"Health and Beauty",Football,1545.45,6,15.00,14.00,1050.60,"Credit Card",8.40
131,INV-0004217,2025-08-15,23:43,"Branch C",Alexandria,Member,Male,Electronics,"Sports Bag",1582.46,7,10.00,14.00,1075.76,"Debit Card",9.70
132,INV-0004218,2025-08-16,23:45,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Handbag,1619.47,8,5.00,14.00,1100.92,"Mobile Wallet",5.90
133,INV-0004219,2025-08-17,23:47,"Branch B",Giza,Member,Male,"Sports and Travel",Sunglasses,1656.48,9,0.00,14.00,1126.08,Cash,7.20
134,INV-0004220,2025-08-18,23:50,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Wrist Watch",1693.49,10,0.00,14.00,1151.24,"Credit Card",8.50
135,INV-0004221,2025-08-19,23:52,"Branch A",Cairo,Member,Male,"Food and Beverages","Orange Juice",1730.50,1,15.00,14.00,1176.40,"Debit Card",9.80
136,INV-0004202,2025-07-31,23:09,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Wrist Watch",1027.31,2,10.00,14.00,698.36,"Mobile Wallet",5.50
137,INV-0004203,2025-08-01,23:11,"Branch A",Cairo,Member,Male,"Food and Beverages","Orange Juice",1064.32,3,5.00,14.00,723.52,Cash,6.80
138,INV-0004204,2025-08-02,23:13,"Branch B",Giza,Normal,Female,"Health and Beauty",Coffee,1101.33,4,0.00,14.00,748.68,"Credit Card",8.10
139,INV-0004205,2025-08-03,23:15,"Branch C",Alexandria,Member,Male,Electronics,Chocolate,1138.34,5,0.00,14.00,773.84,"Debit Card",9.40
140,INV-0004206,2025-08-04,23:18,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Shampoo,1175.35,6,15.00,14.00,799.00,"Mobile Wallet",5.60
141,INV-0004207,2025-08-05,23:20,"Branch B",Giza,Member,Male,"Sports and Travel","Body Lotion",1212.36,7,10.00,14.00,824.16,Cash,6.90
142,INV-0004208,2025-08-06,23:22,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Face Wash",1249.37,8,5.00,14.00,849.32,"Credit Card",8.20
143,INV-0004209,2025-08-07,23:25,"Branch A",Cairo,Member,Male,"Food and Beverages","Wireless Mouse",1286.38,9,0.00,14.00,874.48,"Debit Card",9.50
144,INV-0004210,2025-08-08,23:27,"Branch B",Giza,Normal,Female,"Health and Beauty",Keyboard,1323.39,10,0.00,14.00,899.64,"Mobile Wallet",5.70
145,INV-0004211,2025-08-09,23:29,"Branch C",Alexandria,Member,Male,Electronics,"Phone Charger",1360.40,1,15.00,14.00,924.80,Cash,7.00
146,INV-0004192,2025-07-21,22:46,"Branch B",Giza,Normal,Female,"Health and Beauty",Keyboard,657.21,2,10.00,14.00,446.76,"Credit Card",7.80
147,INV-0004193,2025-07-22,22:48,"Branch C",Alexandria,Member,Male,Electronics,"Phone Charger",694.22,3,5.00,14.00,471.92,"Debit Card",9.10
148,INV-0004194,2025-07-23,22:50,"Branch A",Cairo,Normal,Female,"Home and Lifestyle","Table Lamp",731.23,4,0.00,14.00,497.08,"Mobile Wallet",5.30
149,INV-0004195,2025-07-24,22:53,"Branch B",Giza,Member,Male,"Sports and Travel","Wall Clock",768.24,5,0.00,14.00,522.24,Cash,6.60
150,INV-0004196,2025-07-25,22:55,"Branch C",Alexandria,Normal,Female,"Fashion Accessories",Bedsheet,805.25,6,15.00,14.00,547.40,"Credit Card",7.90
151,INV-0004197,2025-07-26,22:57,"Branch A",Cairo,Member,Male,"Food and Beverages","Running Shoes",842.26,7,10.00,14.00,572.56,"Debit Card",9.20
152,INV-0004198,2025-07-27,22:59,"Branch B",Giza,Normal,Female,"Health and Beauty",Football,879.27,8,5.00,14.00,597.72,"Mobile Wallet",5.40
153,INV-0004199,2025-07-28,23:02,"Branch C",Alexandria,Member,Male,Electronics,"Sports Bag",916.28,9,0.00,14.00,622.88,Cash,6.70
154,INV-0004200,2025-07-29,23:04,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Handbag,953.29,10,0.00,14.00,648.04,"Credit Card",8.00
155,INV-0004201,2025-07-30,23:06,"Branch B",Giza,Member,Male,"Sports and Travel",Sunglasses,990.30,1,15.00,14.00,673.20,"Debit Card",9.30
156,INV-0004182,2025-07-11,22:23,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Handbag,287.11,2,10.00,14.00,195.16,"Mobile Wallet",5.00
157,INV-0004183,2025-07-12,22:25,"Branch B",Giza,Member,Male,"Sports and Travel",Sunglasses,324.12,3,5.00,14.00,220.32,Cash,6.30
158,INV-0004184,2025-07-13,22:28,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Wrist Watch",361.13,4,0.00,14.00,245.48,"Credit Card",7.60
159,INV-0004185,2025-07-14,22:30,"Branch A",Cairo,Member,Male,"Food and Beverages","Orange Juice",398.14,5,0.00,14.00,270.64,"Debit Card",8.90
160,INV-0004186,2025-07-15,22:32,"Branch B",Giza,Normal,Female,"Health and Beauty",Coffee,435.15,6,15.00,14.00,295.80,"Mobile Wallet",5.10
161,INV-0004187,2025-07-16,22:34,"Branch C",Alexandria,Member,Male,Electronics,Chocolate,472.16,7,10.00,14.00,320.96,Cash,6.40
162,INV-0004188,2025-07-17,22:37,"Branch A",Cairo,Normal,Female,"Home and Lifestyle",Shampoo,509.17,8,5.00,14.00,346.12,"Credit Card",7.70
163,INV-0004189,2025-07-18,22:39,"Branch B",Giza,Member,Male,"Sports and Travel","Body Lotion",546.18,9,0.00,14.00,371.28,"Debit Card",9.00
164,INV-0004190,2025-07-19,22:41,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Face Wash",583.19,10,0.00,14.00,396.44,"Mobile Wallet",5.20
165,INV-0004191,2025-07-20,22:44,"Branch A",Cairo,Member,Male,"Food and Beverages","Wireless Mouse",620.20,1,15.00,14.00,421.60,Cash,6.50
166,INV-0004172,2025-07-01,22:00,"Branch C",Alexandria,Normal,Female,"Fashion Accessories","Face Wash",1897.01,2,10.00,14.00,1289.96,"Credit Card",7.30
167,INV-0004173,2025-07-02,22:02,"Branch A",Cairo,Member,Male,"Food and Beverages","Wireless Mouse",1934.02,3,5.00,14.00,1315.12,"Debit Card",8.60
168,INV-0004174,2025-07-03,22:05,"Branch B",Giza,Normal,Female,"Health and Beauty",Keyboard,1971.03,4,0.00,14.00,1340.28,"Mobile Wallet",9.90
169,INV-0004175,2025-07-04,22:07,"Branch C",Alexandria,Member,Male,Electronics,"Phone Charger",28.04,5,0.00,14.00,19.04,Cash,6.10
